10
32 427
10 21 21
4 2 14
25 7 2
2 3 31
22 25 29
12 25 98
10 16 12
19 12 94
21 24 20
30 14 57
29 7 89
22 4 59
31 9 89
29 16 66
18 28 4
18 17 51
13 25 29
17 29 94
24 13 83
17 3 85
18 27 98
31 16 15
3 6 36
7 19 49
8 21 24
1 10 74
2 23 26
23 4 85
8 23 29
30 27 52
17 1 40
13 2 58
6 23 8
7 10 4
11 8 36
7 15 56
28 10 100
25 4 84
6 15 94
9 1 16
14 7 97
15 11 55
25 29 77
18 3 53
1 19 72
13 12 88
2 8 34
25 10 84
8 14 58
19 8 40
2 30 29
6 9 8
22 30 100
10 17 50
3 25 65
22 24 19
7 6 49
27 25 61
8 12 98
7 13 3
19 30 67
22 17 84
29 15 92
31 3 2
16 23 52
8 6 16
2 18 72
12 14 27
2 16 15
22 31 50
28 9 52
23 25 16
13 21 63
14 28 72
29 3 68
4 19 49
13 16 35
27 3 51
8 9 10
6 18 54
3 24 37
21 27 40
19 10 97
30 31 46
15 23 70
31 2 3
13 10 60
9 18 55
19 17 9
24 10 91
31 17 65
31 14 5
30 7 90
24 28 24
25 19 49
7 16 94
12 18 57
3 12 2
12 9 23
1 3 64
18 14 25
27 31 68
15 2 65
24 9 89
30 8 80
7 4 98
25 28 64
2 6 100
16 8 73
16 27 37
30 5 39
27 10 1
12 30 64
29 24 32
1 28 63
12 22 83
21 22 62
14 2 97
6 16 98
17 23 21
22 10 79
16 21 59
22 16 25
21 23 97
15 27 87
18 31 2
30 29 52
2 9 64
12 1 22
28 31 47
19 6 30
18 29 9
27 7 64
14 19 25
1 25 36
25 15 74
17 12 34
8 4 51
3 9 50
13 19 24
22 2 45
15 22 88
14 17 79
22 13 69
22 3 26
12 4 21
10 3 48
11 7 100
23 28 45
4 18 40
15 17 85
25 21 88
27 2 57
14 1 36
21 1 84
22 28 67
24 1 97
28 15 78
2 29 28
22 27 21
28 11 10
13 30 49
17 2 37
24 2 31
14 6 8
23 22 41
11 22 58
17 7 72
12 6 21
3 28 75
3 14 79
28 29 45
4 24 15
9 19 82
1 27 22
3 7 38
29 23 39
11 18 38
10 15 75
4 17 93
13 8 93
